20220620	19:27:43	296826ff-6c80-4b39-ae04-139784534f1d	/	GET
20220620	19:27:43	7ef2c37f-158d-4454-a26b-7cd085fa59b3	/css/style.css	GET
20220620	19:27:43	a1eb54e2-a1a2-495c-8c48-9ec7fd1cbbbe	/img/img.jpg	GET
20220620	20:40:29	9b966d48-0eed-4d4b-8dd5-4344011f65b1	GET	undefined	/
20220620	20:40:29	cb3f1202-3632-4fad-a026-1c24ec9c701d	GET	undefined	/css/style.css
20220620	20:40:29	6a392296-f9c1-4641-9a31-87bd80d18420	GET	undefined	/img/img.jpg
20220620	20:40:55	195501fc-a25c-47ea-94f4-8f6f3fa68fd8	GET	undefined	/
20220620	20:40:55	84122a6e-211d-44ee-88f2-13500067cd3e	GET	undefined	/css/style.css
20220620	20:40:55	eaceb3da-da56-48c3-8861-16fb2b794be7	GET	undefined	/img/img.jpg
20220620	20:42:50	742cefde-0233-4a60-9e70-c191be84d0bd	GET	undefined	/
20220620	20:42:50	d4e0812e-b050-4450-82fc-a426ff9f4d93	GET	undefined	/css/style.css
20220620	20:42:50	71016538-7fb4-4148-9300-07076a494098	GET	undefined	/img/img.jpg
20220620	20:42:55	576b25d1-a372-4780-9099-fe3dd21c5d43	GET	undefined	/
20220620	20:42:55	f84fee48-6ebf-4f0b-9830-1abe67ecdcbf	GET	undefined	/css/style.css
20220620	20:42:55	e45b153e-e669-4923-9bc0-a1a79a1d07c3	GET	undefined	/img/img.jpg
20220620	20:56:35	48fef753-e520-4940-80b3-57bb1ed8c4d9	GET	undefined	/
20220620	20:56:35	28bf8433-7c16-4eec-be09-9a90c3342c05	GET	undefined	/css/style.css
20220620	20:56:35	2c360c6e-5efa-4cfb-b24a-db9d348897ad	GET	undefined	/img/img.jpg
20220620	21:01:01	5e2fc3e3-ce14-475b-b322-7c0edd6b49a7	GET	undefined	/
20220620	21:01:01	40f68c81-7cf8-4f60-a3d2-15bf3e7ffcad	GET	undefined	/css/style.css
20220620	21:01:01	509701b6-71bc-4323-9076-d61ab6a7f06f	GET	undefined	/img/img.jpg
20220620	21:01:02	7edc02ad-0f51-4e9a-9891-ab229a985d32	GET	undefined	/
20220620	21:01:02	305c2150-6077-4306-99b2-823aa75e36fb	GET	undefined	/css/style.css
20220620	21:01:02	62e739af-8cf9-46fb-aa24-09ca3ef9a179	GET	undefined	/img/img.jpg
20220620	21:01:02	d758d34f-5c4b-42f7-a5fc-80496d411dcb	GET	undefined	/
20220620	21:01:02	5a97c04a-2e84-49a9-9e5e-b01e42339471	GET	undefined	/css/style.css
20220620	21:01:02	78cfb420-b510-4c81-8803-81273cbe6c0f	GET	undefined	/img/img.jpg
20220620	21:04:51	c16f2702-74b2-4bb2-b415-788fa5fad3b0	GET	undefined	/shit
20220620	21:04:51	dc3fec23-0543-4db1-ad43-56f81495e43b	GET	undefined	/css/style.css
20220620	21:05:01	5e90ab1b-db52-4ea3-879a-fdf50ed3d8bc	GET	undefined	/shit
20220620	21:05:01	318b8ba4-e12c-417a-a48e-5527166424a9	GET	undefined	/css/style.css
20220620	21:05:04	1d4c8c39-33dc-4305-aa9d-2b8b6961da9e	GET	undefined	/
20220620	21:05:04	ddf1e435-e095-4a37-8ab8-4681498c9170	GET	undefined	/css/style.css
20220620	21:05:04	f0b82baf-34bd-45f6-baab-a6174449870d	GET	undefined	/img/img.jpg
20220620	21:08:19	f08f2c99-4525-479a-83f2-ab38d56bf305	GET	undefined	/
20220620	21:08:19	79cf4867-f597-4d6c-9bb0-ef4c71a0be5d	GET	undefined	/css/style.css
20220620	21:08:19	ae81154b-0199-44c0-9b3d-ef2dc35dba52	GET	undefined	/img/img.jpg
20220620	21:08:31	2b1f126f-0f9b-4f90-a1e6-e4bb39389639	GET	undefined	/shit
20220620	21:08:31	da127a62-bd63-4bc1-b14d-c479d28e093a	GET	undefined	/css/style.css
20220620	21:08:36	4224c8ae-94e2-478c-910a-b1c03bd1f9d8	GET	undefined	/
20220620	21:08:36	d091f133-5e7b-4b07-8aab-f3ed28477528	GET	undefined	/css/style.css
20220620	21:08:36	34adb10e-0b62-4e29-abbd-9f2b278e4dbe	GET	undefined	/img/img.jpg
20220620	21:11:35	a11c7a5c-06d6-41db-8cd1-4fed3cc58da8	GET	undefined	/subdir
20220620	21:11:35	9bc20345-aef7-4359-bf4b-6bfa174ab526	GET	undefined	/css/style.css
20220620	21:14:16	c4476d27-7aa4-4fe4-a6e9-1c48a8a06cb4	GET	undefined	/subdir
20220620	21:14:16	8dd58510-3754-4944-bca1-c5bff95e1b90	GET	undefined	/css/style.css
20220620	21:18:25	fa71176a-4ebe-4bb5-b478-7a820a040a7b	GET	undefined	/subdir
20220620	21:18:25	4d96408b-00c0-41ac-9ea9-561429bee59a	GET	undefined	/css/style.css
20220620	21:18:33	c94bacb7-8d37-4990-aa3c-cb5e8d3a1474	GET	undefined	/subdir/about
20220620	21:18:33	9361844c-9cad-4971-adc9-523f4e77621c	GET	undefined	/subdir/css/style.css
20220620	21:19:44	1d2d8104-5520-4d8e-977b-37438ca0ebfd	GET	undefined	/subdir/bitch
20220620	21:19:44	8ef69c50-c296-42ae-9e40-d9b6c2f8b7b8	GET	undefined	/subdir/css/style.css
20220620	21:19:51	cf2f64ab-15e7-4911-bdf7-ed347714f59d	GET	undefined	/subdir
20220620	21:19:51	205f20e9-2e87-4600-8a95-a0c1cd7adb58	GET	undefined	/css/style.css
20220620	21:20:49	f3011c08-b9dc-4dd4-98b9-d6881636937e	GET	undefined	/subdir
20220620	21:20:49	953d01bc-6bb6-4582-a02b-bf67bd7641e1	GET	undefined	/subdir/
20220620	21:20:49	9f8c166f-d253-45d9-b48a-77e0b6139839	GET	undefined	/subdir/css/style.css
20220620	21:20:52	9918cd64-fc35-453a-b8ed-4e3f2dc7a0dd	GET	undefined	/subdir/bitch
20220620	21:20:53	8a8aa85b-6c0f-4cbe-883b-a64fe1a27aa9	GET	undefined	/subdir/css/style.css
20220620	21:20:57	97e48a47-732d-433d-97de-8bbc8ea2f595	GET	undefined	/subdir/about
20220620	21:20:57	6ab098d6-decf-456a-a734-10bd916e09c4	GET	undefined	/subdir/css/style.css
20220620	21:24:48	d973f1d9-3691-4d99-a3d3-c4c4e995099d	GET	undefined	/
20220620	21:25:19	aea6bcdb-66f8-4d15-8de4-19dfbcd0a9cb	GET	undefined	/
20220620	21:25:19	bb22f38a-f3f1-49de-8f14-6e67fe4a461d	GET	undefined	/css/style.css
20220620	21:25:19	05fdba87-2005-40cd-b67c-0179508b8536	GET	undefined	/img/img.jpg
20220621	15:34:37	8f7120da-5dda-45cf-8f05-1e6143863c2a	GET	undefined	/
20220621	15:35:00	5b99f92b-7132-4302-9b10-e28c2d768bb5	GET	undefined	/employees
20220621	15:38:15	259fa98a-0e34-45d7-be73-c112480e2f28	GET	undefined	/employees
20220621	15:38:25	8d85f376-af3b-4dd9-92de-ed75bfe9112f	POST	undefined	/employees
20220621	15:38:37	d7df4bcc-453f-4c1e-a26c-3db39e387f03	PUT	undefined	/employees
20220621	15:39:12	539a5470-6e8c-444e-9610-f86f7250b6e7	PUT	undefined	/employees
20220621	15:39:12	665b918f-c8f0-476e-bc5b-813f94e293d8	PUT	undefined	/employees
20220621	15:39:18	e61873b2-afb3-44f1-b841-13deadfd1eda	DELETE	undefined	/employees
20220621	15:39:18	8bad059e-ba62-423a-894e-b236d8ae90c1	DELETE	undefined	/employees
20220621	15:39:21	a1af531e-5f93-4984-9af9-a16351de6da0	DELETE	undefined	/employees/1
20220621	15:39:27	70fe80cb-d04b-4ba1-84bb-35be14f3b2ea	DELETE	undefined	/employees/
20220621	15:39:31	2f7a8201-0215-4302-bd8e-60b8485892a1	HEAD	undefined	/employees/
20220621	15:39:33	f1f7dd1b-8fbb-4b9c-8338-00d342ce6c20	GET	undefined	/employees/
20220621	15:39:39	0a0f51a5-0dee-45ec-8620-cfa0f000ddb3	POST	undefined	/employees/
20220621	15:41:21	7ee66638-1c33-4833-8d95-4bf981694f95	POST	undefined	/employees/?id=1
